Folder,Name
20250508_205228_openai_chatgpt-4o-latest_ChatGPT_4o,OpenAI ChatGPT 4o w/ system prompt
20250508_205239_openai_chatgpt-4o-latest,OpenAI ChatGPT 4o w/o system prompt
20250509_111047_openai_gpt-4o-mini_ChatGPT_4o,OpenAI GPT 4o-mini w/ system prompt
20250509_111055_openai_gpt-4o-mini,OpenAI GPT 4o-mini w/o system prompt
20250509_081410_openai_o3_ChatGPT_o3_o4-mini_04-16-2025,OpenAI o3 w/ system prompt
20250509_100844_openai_o3,OpenAI o3 w/o system prompt
20250508_213050_openai_o4-mini_ChatGPT_o3_o4-mini_04-16-2025,OpenAI o4-mini w/ system prompt
20250508_213137_openai_o4-mini,OpenAI o4-mini w/o system prompt
20250508_190814_google_gemini-2.5-pro-preview_Gemini-2.5-Pro-04-18-2025,Google Gemini 2.5 Pro w/ system prompt
20250508_204906_google_gemini-2.5-pro-preview,Google Gemini 2.5 Pro w/o system prompt
20250508_182152_google_gemini-2.5-flash-preview_Gemini-2.5-Pro-04-18-2025,Google Gemini 2.5 Flash w/ system prompt
20250508_182208_google_gemini-2.5-flash-preview,Google Gemini 2.5 Flash w/o system prompt
20250509_111343_anthropic_claude-3-opus_Claude-3-Opus,Anthropic Claude 3 Opus w/ system prompt
20250509_112359_anthropic_claude-3-opus,Anthropic Claude 3 Opus w/o system prompt
20250509_101017_anthropic_claude-3.7-sonnet_thinking_Claude-3-7,Anthropic Claude 3.7 Sonnet Thinking w/ system prompt
20250509_103126_anthropic_claude-3.7-sonnet_thinking,Anthropic Claude 3.7 Sonnet Thinking w/o system prompt
20250508_205021_anthropic_claude-3.7-sonnet_Claude-3-7,Anthropic Claude 3.7 Sonnet w/ system prompt
20250508_205029_anthropic_claude-3.7-sonnet,Anthropic Claude 3.7 Sonnet w/o system prompt
20250510_121731_anthropic_claude-3.5-haiku_Claude-3-5-Haiku,Anthropic Claude 3.5 Haiku w/ system prompt
20250510_121735_anthropic_claude-3.5-haiku,Anthropic Claude 3.5 Haiku w/o system prompt
20250508_205336_x-ai_grok-3-beta_Grok3,xAI Grok 3 beta w/ system prompt
20250508_205347_x-ai_grok-3-beta,xAI Grok 3 beta w/o system prompt
20250509_112500_x-ai_grok-3-mini-beta_Grok3,xAI Grok 3 mini beta w/ system prompt
20250509_112514_x-ai_grok-3-mini-beta,xAI Grok 3 mini beta w/o system prompt
